gage,DRAIN_SQKM,SLOPE_PCT,ELEV_MEAN_M_BASIN,FORESTNLCD06,PLANTNLCD06,DEVNLCD06,RFACT,SANDAVE,SILTAVE,CLAYAVE,ROCKDEPAVE,PERMAVE,STOR_NOR_2009,RAW_AVG_DIS_ALLDAMS,MAJ_NDAMS_2009,avgQ,stor_per_q
1491000,292.0401,0.1020066,16.87383,20.1116208,49.099658,5.63039124,173.2942,60.66388,23.91758,15.41854,59.95591,5.661843,2.267226316,5.809228,0,179.862047,0.012605363
1578475,457.8633,5.393365,155.8011,21.8985494,64.88422,8.68975518,152.4857,26.4325,53.02941,20.5381,57.46716,1.532665,21.48430328,16.86219,1,250.2570254,0.085848952
1580520,425.3841,5.967763,157.867,36.0851319,50.51592,9.5485237,148.9899,27.89265,52.77111,19.33624,58.95789,1.656376,0.878262728,25.23819,0,247.5102935,0.003548389
1594440,906.5709,3.599894,116.0428,33.039879,26.39648,31.859396,149.2622,33.03434,47.31731,19.64836,56.54507,2.546499,49.40318733,27.76744,3,428.7444227,0.115227592
1643000,2112.451,5.617845,194.0985,30.548768,54.21793,12.04451448,135.7562,31.92796,45.87255,22.19949,48.46856,2.132528,3.98012877,24.32904,5,1134.305519,0.003508868
2049500,1582.664,1.110391,26.51032,42.053245,24.603553,6.74601309,209.0017,43.11052,30.44813,26.44135,60,3.963976,0.938774749,40.01762,0,680.2265519,0.001380091
2131500,1720.428,2.988992,132.3691,54.589771,15.225203,4.934591,258.1623,58.80273,21.79001,19.40727,55.52741,5.845448,11.69553565,40.89663,3,734.5649706,0.015921717
2135000,7256.224,0.6326243,53.77938,20.078558,33.055142,7.0672507,266.9383,56.14748,21.36766,22.48485,59.96377,4.13456,7.661322335,92.08128,2,3275.311276,0.002339113
2136000,3211.417,0.6866827,44.52197,17.06774,35.153009,7.8165407,274.926,62.19483,17.95493,19.85024,60,5.026109,2.22763534,56.80066,0,1133.553346,0.001965179
2175000,7077.072,1.326663,76.87965,29.700191,23.966282,6.11542791,275.4813,62.76584,17.20039,20.03377,59.99576,4.76935,5.844364025,103.4355,1,2348.639139,0.002488404
2198000,1675.712,2.34843,106.8864,40.036097,18.963516,6.75271805,272.7477,58.18352,18.35011,23.46637,59.94794,4.285716,4.98067508,71.20863,4,513.8396869,0.009693053
2202500,6887.55,1.766898,90.36064,38.989515,21.31585,4.97011549,287.2327,53.05937,20.37739,26.56325,59.80674,3.399748,3.793584511,113.5897,2,1979.422896,0.00191651
5056000,4862.024,1.408207,505.8918,0.23158902,65.06893,4.01892373,55.14947,33.47864,48.04128,18.48007,59.54874,2.806566,3.315034233,68.72998,3,176.8099061,0.018749143
5057200,1897.332,0.480447,452.6733,0.35372295,77.83423,4.322516466,64.53009,33.71513,44.64209,21.64278,60,2.991727,0.191058813,45.32811,0,79.32504892,0.002408556
5062500,2407.047,1.302685,424.3739,36.92003727,40.401075,3.031519785,81.15943,38.20374,40.63194,21.16433,60,2.664556,34.92031647,21.72496,2,286.9673151,0.121687435
5066500,3217.612,0.4900223,372.2353,1.2485727,82.906992,4.617604999,66.10323,28.34588,48.35931,23.29481,59.98307,2.069107,3.653461636,53.85182,2,310.0099726,0.011784981
5078500,3517.639,0.7096294,382.7034,21.84341782,51.4835,4.28471434,77.24943,45.52343,36.75662,17.71996,60,4.124686,16.49333033,49.28905,2,400.575693,0.041174067
5090000,1741.693,0.7121688,390.3585,3.51824375,78.86361,5.05253439,61.10237,26.03728,48.74485,25.21787,58.37231,1.882334,3.260026308,32.67608,5,97.4489863,0.033453671
